CustomerID,CustomerName,Segment,Region,City,JoinDate
CUST00001,Customer 1,Home Office,West,San Francisco,2024-01-01
CUST00002,Customer 2,Consumer,Central,Houston,2024-05-23
CUST00003,Customer 3,Home Office,East,Philadelphia,2024-08-25
CUST00004,Customer 4,Home Office,South,Atlanta,2022-01-21
CUST00005,Customer 5,Consumer,East,Boston,2021-01-22
CUST00006,Customer 6,Consumer,East,Philadelphia,2023-12-19
CUST00007,Customer 7,Consumer,West,San Francisco,2021-07-09
CUST00008,Customer 8,Corporate,East,Philadelphia,2024-06-21
CUST00009,Customer 9,Consumer,Central,Houston,2022-10-09
CUST00010,Customer 10,Consumer,East,New York,2021-11-12
CUST00011,Customer 11,Consumer,West,Seattle,2022-07-19
CUST00012,Customer 12,Consumer,East,Philadelphia,2022-05-24
CUST00013,Customer 13,Consumer,South,Miami,2023-10-23
CUST00014,Customer 14,Consumer,West,Seattle,2022-12-04
CUST00015,Customer 15,Consumer,South,Atlanta,2023-09-23
CUST00016,Customer 16,Home Office,Central,Dallas,2024-06-29
CUST00017,Customer 17,Consumer,East,New York,2021-12-04
CUST00018,Customer 18,Corporate,West,Los Angeles,2023-02-03
CUST00019,Customer 19,Consumer,Central,Chicago,2021-01-15
CUST00020,Customer 20,Consumer,East,New York,2024-09-29
CUST00021,Customer 21,Consumer,West,San Francisco,2024-03-08
CUST00022,Customer 22,Corporate,East,Philadelphia,2021-10-16
CUST00023,Customer 23,Home Office,Central,Dallas,2021-02-10
CUST00024,Customer 24,Home Office,South,Atlanta,2023-11-23
CUST00025,Customer 25,Consumer,East,New York,2021-04-09
CUST00026,Customer 26,Consumer,Central,Houston,2023-08-19
CUST00027,Customer 27,Home Office,West,San Francisco,2023-10-26
CUST00028,Customer 28,Corporate,West,San Francisco,2023-03-06
CUST00029,Customer 29,Consumer,West,Seattle,2023-06-11
CUST00030,Customer 30,Consumer,East,Philadelphia,2024-06-18
CUST00031,Customer 31,Consumer,West,Seattle,2022-04-30
CUST00032,Customer 32,Consumer,East,Philadelphia,2022-06-25
CUST00033,Customer 33,Consumer,East,Philadelphia,2024-06-20
CUST00034,Customer 34,Home Office,East,New York,2023-10-10
CUST00035,Customer 35,Corporate,South,Atlanta,2024-09-16
CUST00036,Customer 36,Consumer,West,Los Angeles,2024-06-08
CUST00037,Customer 37,Consumer,South,Charlotte,2022-09-25
CUST00038,Customer 38,Home Office,South,Charlotte,2022-12-11
CUST00039,Customer 39,Consumer,West,Los Angeles,2024-06-02
CUST00040,Customer 40,Consumer,East,Philadelphia,2024-10-29
CUST00041,Customer 41,Corporate,East,New York,2022-03-18
CUST00042,Customer 42,Consumer,South,Atlanta,2024-02-11
CUST00043,Customer 43,Home Office,East,Philadelphia,2021-04-23
CUST00044,Customer 44,Consumer,South,Charlotte,2024-06-02
CUST00045,Customer 45,Corporate,Central,Chicago,2022-12-31
CUST00046,Customer 46,Consumer,South,Charlotte,2021-07-22
CUST00047,Customer 47,Consumer,West,Seattle,2021-10-07
CUST00048,Customer 48,Home Office,West,Seattle,2023-01-22
CUST00049,Customer 49,Consumer,Central,Houston,2024-09-11
CUST00050,Customer 50,Home Office,Central,Houston,2022-02-07
CUST00051,Customer 51,Corporate,Central,Houston,2022-05-04
CUST00052,Customer 52,Consumer,Central,Dallas,2023-05-22
CUST00053,Customer 53,Consumer,East,New York,2021-05-31
CUST00054,Customer 54,Corporate,West,San Francisco,2021-05-24
CUST00055,Customer 55,Corporate,South,Miami,2021-01-02
CUST00056,Customer 56,Home Office,South,Miami,2023-11-27
CUST00057,Customer 57,Consumer,South,Miami,2024-01-28
CUST00058,Customer 58,Home Office,Central,Dallas,2024-02-18
CUST00059,Customer 59,Home Office,South,Miami,2021-04-14
CUST00060,Customer 60,Consumer,Central,Dallas,2021-04-09
CUST00061,Customer 61,Consumer,South,Atlanta,2021-12-04
CUST00062,Customer 62,Consumer,West,Los Angeles,2021-06-10
CUST00063,Customer 63,Consumer,East,Philadelphia,2024-05-03
CUST00064,Customer 64,Corporate,Central,Houston,2022-04-15
CUST00065,Customer 65,Consumer,East,Boston,2021-08-18
CUST00066,Customer 66,Home Office,West,San Francisco,2021-01-27
CUST00067,Customer 67,Consumer,Central,Houston,2023-08-18
CUST00068,Customer 68,Consumer,South,Charlotte,2022-07-01
CUST00069,Customer 69,Consumer,Central,Dallas,2022-04-22
CUST00070,Customer 70,Home Office,East,New York,2023-11-27
CUST00071,Customer 71,Consumer,South,Miami,2022-08-30
CUST00072,Customer 72,Home Office,South,Charlotte,2021-09-10
CUST00073,Customer 73,Home Office,West,San Francisco,2021-05-08
CUST00074,Customer 74,Consumer,West,Seattle,2022-07-24
CUST00075,Customer 75,Consumer,South,Atlanta,2024-08-04
CUST00076,Customer 76,Consumer,Central,Houston,2021-06-04
CUST00077,Customer 77,Consumer,West,Los Angeles,2021-09-03
CUST00078,Customer 78,Consumer,West,San Francisco,2022-06-22
CUST00079,Customer 79,Home Office,South,Miami,2023-04-08
CUST00080,Customer 80,Consumer,West,Los Angeles,2021-01-20
CUST00081,Customer 81,Corporate,Central,Dallas,2023-08-30
CUST00082,Customer 82,Consumer,South,Atlanta,2023-04-14
CUST00083,Customer 83,Corporate,West,San Francisco,2022-07-29
CUST00084,Customer 84,Home Office,South,Atlanta,2024-09-27
CUST00085,Customer 85,Consumer,East,Philadelphia,2023-12-14
CUST00086,Customer 86,Consumer,West,Los Angeles,2023-10-01
CUST00087,Customer 87,Consumer,South,Atlanta,2023-05-27
CUST00088,Customer 88,Consumer,East,Philadelphia,2023-04-03
CUST00089,Customer 89,Consumer,East,Boston,2022-09-28
CUST00090,Customer 90,Consumer,Central,Houston,2023-12-18
CUST00091,Customer 91,Consumer,East,New York,2023-03-02
CUST00092,Customer 92,Corporate,West,Los Angeles,2023-12-18
CUST00093,Customer 93,Consumer,South,Atlanta,2024-02-16
CUST00094,Customer 94,Corporate,Central,Chicago,2023-06-16
CUST00095,Customer 95,Corporate,South,Charlotte,2022-08-04
CUST00096,Customer 96,Consumer,Central,Dallas,2023-09-24
CUST00097,Customer 97,Consumer,East,New York,2023-12-07
CUST00098,Customer 98,Home Office,East,New York,2024-05-12
CUST00099,Customer 99,Corporate,East,New York,2022-07-05
