OrderID,OrderDate,CustomerID,ProductID,ProductName,Category,Quantity,UnitPrice,Discount,Sales,Profit,ShipMode,DeliveryDays,DeliveryDate,Returned,CustomerRating
ORD000001,2024-05-02,CUST00187,PRD0017,Storage Box,Home & Kitchen,3,172.28,0.1,465.16,269.32,Standard,4,2024-05-06,No,3
ORD000002,2023-12-15,CUST00645,PRD0006,Camera,Electronics,3,233.09,0.0,699.27,449.07,Express,2,2023-12-17,No,4
ORD000002,2023-12-15,CUST00645,PRD0021,Hair Dryer,Beauty,2,143.53,0.0,287.06,183.9,Standard,4,2023-12-19,No,4
ORD000002,2023-12-15,CUST00645,PRD0023,Dumbbells,Sports,3,137.68,0.15,351.08,106.49,Standard,4,2023-12-19,No,5
ORD000003,2022-03-17,CUST00465,PRD0026,Fitness Tracker,Sports,3,225.89,0.1,609.9,142.23,Express,3,2022-03-20,No,3
ORD000003,2022-03-17,CUST00465,PRD0018,Skincare Kit,Beauty,4,154.57,0.0,618.28,322.6,Standard,6,2022-03-23,No,3
ORD000003,2022-03-17,CUST00465,PRD0023,Dumbbells,Sports,2,137.68,0.0,275.36,112.3,Standard,9,2022-03-26,No,5
ORD000004,2022-05-17,CUST00509,PRD0016,Lamp,Home & Kitchen,3,211.91,0.0,635.73,304.8,Standard,8,2022-05-25,No,5
ORD000005,2022-09-08,CUST00171,PRD0004,Tablet,Electronics,1,382.63,0.15,325.24,178.4,Same Day,1,2022-09-09,No,3
ORD000006,2023-06-02,CUST00534,PRD0001,Smartphone,Electronics,3,256.66,0.0,769.98,402.84,Standard,6,2023-06-08,No,4
ORD000007,2024-12-21,CUST00898,PRD0025,Bicycle,Sports,4,420.47,0.0,1681.88,1054.64,Standard,6,2024-12-27,No,5
ORD000007,2024-12-21,CUST00898,PRD0023,Dumbbells,Sports,2,137.68,0.05,261.59,98.53,Express,3,2024-12-24,No,4
ORD000007,2024-12-21,CUST00898,PRD0011,Dress,Clothing,3,237.5,0.0,712.5,218.16,Standard,6,2024-12-27,No,4
ORD000008,2024-01-04,CUST00386,PRD0010,Sneakers,Clothing,3,218.68,0.05,623.24,176.96,Standard,8,2024-01-12,No,5
ORD000008,2024-01-04,CUST00386,PRD0013,Cookware Set,Home & Kitchen,3,56.91,0.25,128.05,64.24,Express,3,2024-01-07,No,4
ORD000008,2024-01-04,CUST00386,PRD0008,Jeans,Clothing,4,293.74,0.0,1174.96,681.52,Standard,9,2024-01-13,Yes,3
ORD000009,2024-04-07,CUST00675,PRD0017,Storage Box,Home & Kitchen,4,172.28,0.2,551.3,290.18,Express,3,2024-04-10,No,4
ORD000010,2023-05-16,CUST00304,PRD0007,T-Shirt,Clothing,3,102.69,0.05,292.67,150.41,Standard,6,2023-05-22,No,4
ORD000011,2025-04-29,CUST00709,PRD0009,Jacket,Clothing,1,99.78,0.1,89.8,46.71,Same Day,1,2025-04-30,Yes,2
ORD000012,2024-12-23,CUST00833,PRD0013,Cookware Set,Home & Kitchen,1,56.91,0.0,56.91,35.64,Standard,9,2025-01-01,No,3
ORD000012,2024-12-23,CUST00833,PRD0005,Smartwatch,Electronics,3,314.64,0.05,896.72,451.01,Standard,9,2025-01-01,No,3
ORD000012,2024-12-23,CUST00833,PRD0019,Perfume,Beauty,2,141.9,0.0,283.8,170.34,Express,4,2024-12-27,No,5
ORD000013,2024-09-02,CUST00519,PRD0006,Camera,Electronics,1,233.09,0.0,233.09,149.69,Standard,5,2024-09-07,No,3
ORD000013,2024-09-02,CUST00519,PRD0023,Dumbbells,Sports,3,137.68,0.05,392.39,147.8,Standard,5,2024-09-07,No,4
ORD000013,2024-09-02,CUST00519,PRD0002,Laptop,Electronics,4,252.23,0.25,756.69,213.61,Express,4,2024-09-06,No,4
ORD000014,2024-05-11,CUST00093,PRD0009,Jacket,Clothing,1,99.78,0.05,94.79,51.7,Same Day,1,2024-05-12,No,5
ORD000015,2022-07-03,CUST00181,PRD0006,Camera,Electronics,4,233.09,0.05,885.74,552.14,Express,4,2022-07-07,No,5
ORD000016,2022-07-06,CUST00439,PRD0001,Smartphone,Electronics,3,256.66,0.0,769.98,402.84,Express,3,2022-07-09,No,4
ORD000016,2022-07-06,CUST00439,PRD0011,Dress,Clothing,3,237.5,0.05,676.88,182.54,Standard,9,2022-07-15,No,5
ORD000017,2023-11-30,CUST00768,PRD0011,Dress,Clothing,2,237.5,0.2,380.0,50.44,Same Day,1,2023-12-01,No,5
ORD000018,2023-11-30,CUST00111,PRD0024,Running Shoes,Sports,3,271.75,0.0,815.25,378.6,Express,3,2023-12-03,No,4
ORD000018,2023-11-30,CUST00111,PRD0010,Sneakers,Clothing,2,218.68,0.25,328.02,30.5,Express,4,2023-12-04,No,4
ORD000019,2022-05-20,CUST00783,PRD0004,Tablet,Electronics,4,382.63,0.05,1453.99,866.63,Standard,4,2022-05-24,No,4
ORD000019,2022-05-20,CUST00783,PRD0003,Headphones,Electronics,1,244.54,0.0,244.54,83.45,Standard,6,2022-05-26,No,4
ORD000020,2025-03-16,CUST00006,PRD0012,Hoodie,Clothing,4,98.45,0.0,393.8,116.88,Express,3,2025-03-19,No,5
ORD000021,2023-04-05,CUST00447,PRD0025,Bicycle,Sports,2,420.47,0.2,672.75,359.13,Express,4,2023-04-09,No,5
ORD000022,2022-06-11,CUST00282,PRD0007,T-Shirt,Clothing,2,102.69,0.0,205.38,110.54,Standard,9,2022-06-20,No,4
ORD000022,2022-06-11,CUST00282,PRD0017,Storage Box,Home & Kitchen,2,172.28,0.05,327.33,196.77,Same Day,1,2022-06-12,No,5
ORD000022,2022-06-11,CUST00282,PRD0008,Jeans,Clothing,4,293.74,0.05,1116.21,622.77,Standard,6,2022-06-17,No,5
ORD000023,2025-06-19,CUST00552,PRD0016,Lamp,Home & Kitchen,1,211.91,0.05,201.31,91.0,Standard,8,2025-06-27,No,4
ORD000023,2025-06-19,CUST00552,PRD0012,Hoodie,Clothing,2,98.45,0.0,196.9,58.44,Same Day,1,2025-06-20,No,4
ORD000024,2023-06-27,CUST00247,PRD0020,Makeup Set,Beauty,1,161.81,0.15,137.54,61.18,Standard,8,2023-07-05,No,4
ORD000025,2022-03-13,CUST00239,PRD0009,Jacket,Clothing,3,99.78,0.15,254.44,125.17,Standard,6,2022-03-19,Yes,1
ORD000025,2022-03-13,CUST00239,PRD0012,Hoodie,Clothing,4,98.45,0.1,354.42,77.5,Same Day,1,2022-03-14,Yes,1
ORD000025,2022-03-13,CUST00239,PRD0008,Jeans,Clothing,1,293.74,0.0,293.74,170.38,Standard,4,2022-03-17,No,5
ORD000026,2025-02-25,CUST00826,PRD0017,Storage Box,Home & Kitchen,1,172.28,0.0,172.28,107.0,Standard,9,2025-03-06,No,5
ORD000026,2025-02-25,CUST00826,PRD0001,Smartphone,Electronics,1,256.66,0.0,256.66,134.28,Standard,9,2025-03-06,No,5
ORD000027,2023-05-09,CUST00634,PRD0022,Yoga Mat,Sports,2,144.12,0.15,245.0,128.72,Standard,4,2023-05-13,No,5
