OrderID,OrderDate,CustomerID,ProductID,ProductName,Category,Quantity,UnitPrice,Discount,Sales,Profit,ShipMode,DeliveryDays,DeliveryDate,Returned,CustomerRating,CustomerName,Segment,Region,City,JoinDate,DiscountBand,YearMonth
ORD000001,2024-05-02,CUST00187,PRD0017,Storage Box,Home & Kitchen,3,172.28,0.1,465.16,269.32,Standard,4,2024-05-06,No,3,Customer 187,Consumer,West,San Francisco,2024-04-30,1-10%,2024-05
ORD000002,2023-12-15,CUST00645,PRD0006,Camera,Electronics,3,233.09,0.0,699.27,449.07,Express,2,2023-12-17,No,4,Customer 645,Corporate,West,San Francisco,2023-08-01,No Discount,2023-12
ORD000002,2023-12-15,CUST00645,PRD0021,Hair Dryer,Beauty,2,143.53,0.0,287.06,183.9,Standard,4,2023-12-19,No,4,Customer 645,Corporate,West,San Francisco,2023-08-01,No Discount,2023-12
ORD000002,2023-12-15,CUST00645,PRD0023,Dumbbells,Sports,3,137.68,0.15,351.08,106.49,Standard,4,2023-12-19,No,5,Customer 645,Corporate,West,San Francisco,2023-08-01,11-20%,2023-12
ORD000003,2022-03-17,CUST00465,PRD0026,Fitness Tracker,Sports,3,225.89,0.1,609.9,142.23,Express,3,2022-03-20,No,3,Customer 465,Corporate,Central,Houston,2024-07-27,1-10%,2022-03
ORD000003,2022-03-17,CUST00465,PRD0018,Skincare Kit,Beauty,4,154.57,0.0,618.28,322.6,Standard,6,2022-03-23,No,3,Customer 465,Corporate,Central,Houston,2024-07-27,No Discount,2022-03
ORD000003,2022-03-17,CUST00465,PRD0023,Dumbbells,Sports,2,137.68,0.0,275.36,112.3,Standard,9,2022-03-26,No,5,Customer 465,Corporate,Central,Houston,2024-07-27,No Discount,2022-03
ORD000004,2022-05-17,CUST00509,PRD0016,Lamp,Home & Kitchen,3,211.91,0.0,635.73,304.8,Standard,8,2022-05-25,No,5,Customer 509,Corporate,Central,Dallas,2024-04-21,No Discount,2022-05
ORD000005,2022-09-08,CUST00171,PRD0004,Tablet,Electronics,1,382.63,0.15,325.24,178.4,Same Day,1,2022-09-09,No,3,Customer 171,Consumer,Central,Chicago,2022-06-30,11-20%,2022-09
ORD000006,2023-06-02,CUST00534,PRD0001,Smartphone,Electronics,3,256.66,0.0,769.98,402.84,Standard,6,2023-06-08,No,4,Customer 534,Home Office,East,New York,2022-10-14,No Discount,2023-06
